iter	RMSE
0	2970.847108
1	2840.518054
2	2734.944012
3	2645.701446
4	2569.274404
5	2489.379683
6	2416.876339
7	2358.95581
8	2281.78979
9	2225.862742
10	2179.747783
11	2126.175139
12	2111.949824
13	2058.841827
14	2024.780721
15	2011.423506
16	1980.529709
17	1950.632564
18	1920.770967
19	1889.795711
20	1854.584608
21	1826.866597
22	1817.175037
23	1806.91874
24	1780.973467
25	1773.343631
26	1766.427839
27	1752.063665
28	1728.209321
29	1717.5978
30	1689.44291
31	1682.328883
32	1672.635021
33	1662.740941
34	1643.467807
35	1638.856083
36	1626.902349
37	1615.123692
38	1601.112419
39	1597.36325
40	1590.726382
41	1576.37928
42	1560.923983
43	1551.399354
44	1548.390546
45	1537.95118
46	1530.961392
47	1528.413858
48	1512.695792
49	1507.043973
50	1494.647679
51	1484.461205
52	1478.740017
53	1471.179597
54	1461.717839
55	1458.947041
56	1456.384178
57	1449.68663
58	1443.938921
59	1442.47915
60	1438.388764
61	1434.287394
62	1425.58964
63	1421.719595
64	1415.257032
65	1407.92417
66	1397.765777
67	1382.060494
68	1378.382276
69	1373.039798
70	1365.150596
71	1361.194529
72	1354.063833
73	1351.64979
74	1345.673474
75	1344.041309
76	1338.674715
77	1335.361193
78	1330.205245
79	1325.740275
80	1319.442577
81	1312.774596
82	1307.173559
83	1302.214487
84	1298.613805
85	1295.488979
86	1294.971733
87	1288.678108
88	1285.663756
89	1283.057029
90	1277.183324
91	1274.570585
92	1268.59208
93	1266.976664
94	1265.481939
95	1264.325817
96	1261.491138
97	1260.139924
98	1250.64751
99	1248.562805
100	1247.389386
101	1240.285704
102	1238.753347
103	1238.216436
104	1227.036894
105	1216.076773
106	1208.006401
107	1200.791069
108	1196.339371
109	1190.039639
110	1185.955855
111	1183.81699
112	1182.831495
113	1175.78944
114	1174.872945
115	1169.994911
116	1167.727386
117	1165.11025
118	1163.417625
119	1158.088373
120	1149.301662
121	1147.097831
122	1142.899664
123	1142.297261
124	1136.860285
125	1132.266986
126	1129.768209
127	1129.247362
128	1128.775619
129	1128.487903
130	1127.863623
131	1127.28423
132	1122.011811
133	1116.154385
134	1111.865117
135	1106.135986
136	1101.069445
137	1096.664761
138	1091.532986
139	1091.263913
140	1087.309013
141	1082.181886
142	1081.618503
143	1077.637412
144	1068.9052
145	1067.84297
146	1061.719679
147	1054.831252
148	1052.598301
149	1051.872686
150	1048.807967
151	1048.468415
152	1045.046882
153	1040.384536
154	1032.599539
155	1032.402462
156	1027.781098
157	1024.817862
158	1022.231717
159	1018.062565
160	1015.642834
161	1015.000649
162	1014.724348
163	1011.788329
164	1008.806189
165	1004.172369
166	1003.785095
167	998.9676962
168	998.7185422
169	997.0825265
170	995.0273901
171	992.9651932
172	989.5563778
173	983.0922097
174	980.1526152
175	974.3802129
176	974.1671597
177	970.8892174
178	968.4131605
179	966.8342845
180	963.0179642
181	962.0029689
182	960.0691057
183	959.8306057
184	957.3970968
185	956.8753278
186	956.3273889
187	953.7092427
188	950.8266214
189	947.6631896
190	947.0472918
191	943.5245175
192	941.3701303
193	939.463402
194	936.7784822
195	934.7770311
196	932.0955339
197	930.9306878
198	930.5245255
199	927.498389
