iter	Passed	Remaining
0	0	129
1	1	130
2	1	128
3	2	127
4	3	127
5	3	127
6	4	127
7	5	127
8	5	126
9	6	126
10	7	126
11	8	126
12	8	125
13	9	124
14	10	123
15	10	123
16	11	123
17	12	122
18	12	121
19	13	120
20	14	119
21	14	119
22	15	118
23	16	117
24	16	116
25	16	113
26	17	109
27	17	109
28	18	109
29	19	108
30	19	108
31	20	106
32	20	106
33	21	104
34	21	103
35	22	101
36	22	100
37	23	100
38	24	99
39	24	97
40	25	97
41	25	96
42	26	96
43	26	95
44	27	93
45	27	93
46	28	92
47	28	90
48	29	90
49	30	90
50	30	89
51	31	89
52	32	88
53	32	88
54	33	87
55	33	86
56	33	85
57	34	84
58	35	84
59	35	83
60	36	82
61	37	83
62	38	83
63	38	82
64	39	82
65	40	81
66	40	81
67	41	80
68	42	80
69	42	79
70	43	79
71	44	78
72	44	78
73	45	77
74	46	77
75	47	76
76	47	76
77	48	75
78	49	75
79	49	74
80	50	74
81	51	73
82	51	73
83	52	72
84	53	71
85	53	71
86	54	70
87	54	69
88	55	69
89	56	68
90	56	68
91	57	67
92	58	66
93	58	66
94	59	65
95	60	65
96	60	64
97	61	63
98	62	63
99	62	62
100	63	62
101	64	61
102	64	60
103	65	60
104	66	59
105	66	59
106	67	58
107	68	57
108	68	57
109	69	56
110	70	56
111	70	55
112	71	55
113	72	54
114	72	53
115	73	53
116	74	52
117	74	51
118	75	51
119	76	50
120	76	50
121	77	49
122	78	48
123	78	48
124	79	47
125	80	47
126	80	46
127	81	45
128	82	45
129	82	44
130	83	44
131	84	43
132	84	42
133	85	42
134	86	41
135	87	40
136	87	40
137	88	39
138	89	39
139	89	38
140	91	38
141	91	37
142	92	36
143	93	36
144	93	35
145	94	34
146	95	34
147	95	33
148	96	33
149	97	32
150	97	31
151	98	31
152	99	30
153	99	29
154	100	29
155	101	28
156	101	27
157	102	27
158	103	26
159	103	25
160	104	25
161	105	24
162	105	24
163	106	23
164	107	22
165	107	22
166	108	21
167	109	20
168	109	20
169	110	19
170	111	18
171	111	18
172	112	17
173	113	16
174	113	16
175	114	15
176	115	14
177	116	14
178	116	13
179	117	13
180	118	12
181	118	11
182	119	11
183	120	10
184	120	9
185	121	9
186	122	8
187	122	7
188	123	7
189	124	6
190	124	5
191	125	5
192	126	4
193	126	3
194	127	3
195	128	2
196	128	1
197	129	1
198	130	0
199	131	0
